external_learning_efficiency,platform_capture_share,equivalent_pareto_tail_index,neutrality_penalty,regime,ownership_size,incremental_private_value,capture_upgrade,productive_learning_upgrade,external_access_slope,selection_margin,platform_full_rollup_capture_threshold
0.18750000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14203074,2.35839844,1.15171875,-0.03937500,0.79647086,0.40986222
0.20000000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14153855,2.37562500,1.13400000,-0.03937500,0.79343570,0.40689016
0.21250000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14104636,2.39285156,1.11628125,-0.03937500,0.79040055,0.40396088
0.22500000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14055417,2.41007813,1.09856250,-0.03937500,0.78736539,0.40107348
0.23750000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.14006199,2.42730469,1.08084375,-0.03937500,0.78433024,0.39822707
0.25000000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.13956980,2.44453125,1.06312500,-0.03937500,0.78129508,0.39542077
0.26250000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.13907761,2.46175781,1.04540625,-0.03937500,0.77825992,0.39265375
0.27500000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.13858542,2.47898438,1.02768750,-0.03937500,0.77522477,0.38992518
0.28750000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.13809324,2.49621094,1.00996875,-0.03937500,0.77218961,0.38723427
0.30000000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.13760105,2.51343750,0.99225000,-0.03937500,0.76915445,0.38458025
0.31250000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.13710886,2.53066406,0.97453125,-0.03937500,0.76611930,0.38196236
0.32500000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.13661667,2.54789062,0.95681250,-0.03937500,0.76308414,0.37937988
0.33750000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.13612449,2.56511719,0.93909375,-0.03937500,0.76004899,0.37683207
0.35000000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.13563230,2.58234375,0.92137500,-0.03937500,0.75701383,0.37431826
0.36250000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.13514011,2.59957031,0.90365625,-0.03937500,0.75397867,0.37183777
0.37500000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.13464792,2.61679688,0.88593750,-0.03937500,0.75094352,0.36938993
0.38750000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.13415574,2.63402344,0.86821875,-0.03937500,0.74790836,0.36697412
0.40000000,0.01250000,1.01282051,5.00000000,full_network_rollup,6,2.13366355,2.65125000,0.85050000,-0.03937500,0.74487320,0.36458969
