organization_cost_scale,cross_node_learning,integration_threshold,conditional_target_size,continuous_target_size
0.10625000,0.05000000,0.97798411,3,2.65102870
0.10762500,0.05000000,0.98438547,3,2.63668347
0.10900000,0.05000000,0.99078684,3,2.62259705
0.11037500,0.05000000,0.99718820,3,2.60876160
0.11175000,0.05000000,1.00358956,3,2.59516960
0.11312500,0.05000000,1.00999092,3,2.58181385
0.11450000,0.05000000,1.01639229,3,2.56868745
0.11587500,0.05000000,1.02279365,3,2.55578376
0.11725000,0.05000000,1.02919501,3,2.54309645
0.11862500,0.05000000,1.03559638,3,2.53061940
0.12000000,0.05000000,1.04199774,3,2.51834674
0.01000000,0.06250000,0.32923916,7,7.24953206
0.01137500,0.06250000,0.35020151,7,6.86355213
0.01275000,0.06250000,0.37116386,7,6.53882723
0.01412500,0.06250000,0.38881802,6,6.26046931
0.01550000,0.06250000,0.40571132,6,6.01823739
0.01687500,0.06250000,0.42260462,6,5.80481938
0.01825000,0.06250000,0.43949792,6,5.61483295
0.01962500,0.06250000,0.45554604,5,5.44421444
0.02100000,0.06250000,0.46863366,5,5.28982923
0.02237500,0.06250000,0.48172128,5,5.14921446
0.02375000,0.06250000,0.49480891,5,5.02040394
0.02512500,0.06250000,0.50789653,5,4.90180594
0.02650000,0.06250000,0.52098415,5,4.79211591
0.02787500,0.06250000,0.53407177,5,4.69025285
0.02925000,0.06250000,0.54715939,5,4.59531221
0.03062500,0.06250000,0.56024701,5,4.50653032
0.03200000,0.06250000,0.57107523,4,4.42325733
0.03337500,0.06250000,0.58065129,4,4.34493618
0.03475000,0.06250000,0.59022734,4,4.27108616
0.03612500,0.06250000,0.59980340,4,4.20128993
0.03750000,0.06250000,0.60937945,4,4.13518311
0.03887500,0.06250000,0.61895551,4,4.07244592
0.04025000,0.06250000,0.62853157,4,4.01279637
0.04162500,0.06250000,0.63810762,4,3.95598466
0.04300000,0.06250000,0.64768368,4,3.90178864
0.04437500,0.06250000,0.65725974,4,3.85000992
0.04575000,0.06250000,0.66683579,4,3.80047071
0.04712500,0.06250000,0.67641185,4,3.75301115
0.04850000,0.06250000,0.68598790,4,3.70748704
0.04987500,0.06250000,0.69556396,4,3.66376788
0.05125000,0.06250000,0.70514002,4,3.62173528
0.05262500,0.06250000,0.71471607,4,3.58128152
0.05400000,0.06250000,0.72429213,4,3.54230833
0.05537500,0.06250000,0.73386819,4,3.50472588
0.05675000,0.06250000,0.74336838,3,3.46845184
0.05812500,0.06250000,0.74976974,3,3.43341059
0.05950000,0.06250000,0.75617110,3,3.39953254
0.06087500,0.06250000,0.76257246,3,3.36675354
0.06225000,0.06250000,0.76897383,3,3.33501428
0.06362500,0.06250000,0.77537519,3,3.30425992
0.06500000,0.06250000,0.78177655,3,3.27443959
0.06637500,0.06250000,0.78817792,3,3.24550605
0.06775000,0.06250000,0.79457928,3,3.21741537
0.06912500,0.06250000,0.80098064,3,3.19012664
0.07050000,0.06250000,0.80738201,3,3.16360168
0.07187500,0.06250000,0.81378337,3,3.13780484
0.07325000,0.06250000,0.82018473,3,3.11270278
0.07462500,0.06250000,0.82658609,3,3.08826426
0.07600000,0.06250000,0.83298746,3,3.06446000
0.07737500,0.06250000,0.83938882,3,3.04126250
0.07875000,0.06250000,0.84579018,3,3.01864592
0.08012500,0.06250000,0.85219155,3,2.99658595
0.08150000,0.06250000,0.85859291,3,2.97505968
0.08287500,0.06250000,0.86499427,3,2.95404553
0.08425000,0.06250000,0.87139564,3,2.93352312
0.08562500,0.06250000,0.87779700,3,2.91347318
0.08700000,0.06250000,0.88419836,3,2.89387752
0.08837500,0.06250000,0.89059972,3,2.87471890
0.08975000,0.06250000,0.89700109,3,2.85598100
0.09112500,0.06250000,0.90340245,3,2.83764835
0.09250000,0.06250000,0.90980381,3,2.81970626
0.09387500,0.06250000,0.91620518,3,2.80214079
0.09525000,0.06250000,0.92260654,3,2.78493869
0.09662500,0.06250000,0.92900790,3,2.76808735
0.09800000,0.06250000,0.93540927,3,2.75157479
0.09937500,0.06250000,0.94181063,3,2.73538958
0.10075000,0.06250000,0.94821199,3,2.71952083
0.10212500,0.06250000,0.95461335,3,2.70395817
0.10350000,0.06250000,0.96101472,3,2.68869168
0.10487500,0.06250000,0.96741608,3,2.67371190
0.10625000,0.06250000,0.97381744,3,2.65900980
0.10762500,0.06250000,0.98021881,3,2.64457673
0.10900000,0.06250000,0.98662017,3,2.63040442
0.11037500,0.06250000,0.99302153,3,2.61648496
0.11175000,0.06250000,0.99942290,3,2.60281078
0.11312500,0.06250000,1.00582426,3,2.58937460
0.11450000,0.06250000,1.01222562,3,2.57616948
0.11587500,0.06250000,1.01862698,3,2.56318873
0.11725000,0.06250000,1.02502835,3,2.55042593
0.11862500,0.06250000,1.03142971,3,2.53787495
0.12000000,0.06250000,1.03783107,3,2.52552987
0.01000000,0.07500000,0.32173916,7,7.29687327
0.01137500,0.07500000,0.34270151,7,6.90705483
0.01275000,0.07500000,0.36366386,7,6.57914692
0.01412500,0.07500000,0.38187358,6,6.29809772
0.01550000,0.07500000,0.39876688,6,6.05355431
0.01687500,0.07500000,0.41566018,6,5.83812518
0.01825000,0.07500000,0.43255347,6,5.64636991
0.01962500,0.07500000,0.44929604,5,5.47418125
0.02100000,0.07500000,0.46238366,5,5.31839112
0.02237500,0.07500000,0.47547128,5,5.17651055
0.02375000,0.07500000,0.48855891,5,5.04655262
0.02512500,0.07500000,0.50164653,5,4.92690891
0.02650000,0.07500000,0.51473415,5,4.81626124
0.02787500,0.07500000,0.52782177,5,4.71351741
0.02925000,0.07500000,0.54090939,5,4.61776351
0.03062500,0.07500000,0.55399701,5,4.52822806
0.03200000,0.07500000,0.56571809,4,4.44425455
0.03337500,0.07500000,0.57529414,4,4.36528025
0.03475000,0.07500000,0.58487020,4,4.29081960
0.03612500,0.07500000,0.59444626,4,4.22045105
0.03750000,0.07500000,0.60402231,4,4.15380656
